Id,Bone_Health_Calcium,VitA_Percentage,Saturated_Lipids,Energy_Content,Cholesterol_Level,Drink_Name,Iron_Concentration,VitC_Content,Sweetness_Index,Drink_Type,Salt_Level,Health_Category,Flavor_Variant,Fibre_Amount,Processed_Oil_Content,Carb_Count,Protein_Quantity,Stimulant_Caffeine,Heart_Risk_Index,Health_Rating,Fat_Content
0,77%,26%,0.08593,29.6221,20.0,Brand 10,24.7%,5%,103.0, Masala Chai ,11,Low_Fat,Extra Large Kulhad,0.101,1.8008,438,9.8,212,12.6824, Medium ,71.4813
1,16%,0%,0.02023,14.4858,16.0,Brand 32,0.11%,12%,64.0, Masala Chai ,10,,Large Kulhad,0.101,0.6284,236,12.9,158,11.985, Medium ,19.0857
2,76%,25%,0.08206,31.0082,15.0,Brand 19,37.08%,8%,196.0, Cold Coffee ,49,Vitamin_Rich,Malai Milk,1.751,3.8808,503,33.8,34,25.2727, Medium ,94.9547
3,107%,37%,0.0991,30.7804,35.0,Brand 9,21.46%,8%,21.0, Cold Coffee ,10,Vitamin_Rich,Badam Milk,0.101,1.0886,452,38.3,135,21.5413, Medium ,11.4169
4,10%,0%,0.03192,6.1926,9.0,Brand 12,0.11%,9%,30.0, Nimbu Pani & Shikanji ,11,Low_Fat,Full Cream Buffalo Milk,0.101,0.4522,63,3.0,604,7.6777, Medium ,0.0
5,60%,26%,0.09322,26.3615,24.0,Brand 19,0.11%,14%,37.0, Masala Chai ,11,Vitamin_Rich,Badam Milk,0.101,1.1327,0,11.5,139,14.0584, Medium ,16.3944
6,10%,0%,0.01101,8.7667,43.0,Brand 17,0.62%,11%,33.0, Masala Chai ,11,Low_Fat,Large Kulhad,1.911,0.2362,377,3.0,44,8.1932, Low ,5.4646
7,71%,31%,0.08563,30.438,23.0,Brand 10,10.54%,8%,77.0, South Indian Filter Coffee ,26,Vitamin_Rich,Malai Milk,0.101,4.1788,695,29.5,234,15.9557, Medium ,72.8564
8,10%,0%,0.02181,17.8978,23.0,Brand 25,0.11%,10%,47.0, Masala Chai ,11,Low_Fat,Kesar Doodh,0.101,0.3004,258,3.0,258,15.7839, Medium ,0.0
9,72%,55%,0.1249,41.6536,82.0,Brand 4,68.09%,14%,EMR, Mango Shake ,43,Vitamin_Rich,Malai Milk,411.58,3.4025,774,143.0,141,44.4169, High ,165.6777
10,99%,54%,0.07862,34.4147,42.0,Brand 6,0.65%,14%,39.0, South Indian Filter Coffee ,40,Vitamin_Rich,Extra Large Kulhad,0.101,3.7639,482,119.0,220,28.7936, Medium ,13.7985
11,28%,0%,0.01965,28.5534,36.0,Brand 27,0.11%,6%,164.0, Cold Coffee ,10,Low_Fat,Saffron-Infused Milk,0.101,0.0,537,3.0,142,17.0091, Medium ,8.5279
12,108%,44%,0.01449,31.6187,50.0,Brand 21,1.69%,9%,17.0, Special Spiced Chai ,10,Low_Fat,Elaichi Doodh,3.471,1.8076,424,100.2,251,20.8901, Medium ,12.6051
13,21%,6%,0.0271,19.4229,0.0,Brand 1,0.76%,12%,23.0, South Indian Filter Coffee ,10,Low_Fat,Large Kulhad,0.101,0.0,0,3.0,166,3.3381, Low ,14.4195
14,54%,33%,0.08729,28.374,83.0,Brand 32,17.64%,32%,146.0, Lassi Blends ,10,Vitamin_Rich,Badam Milk,0.452,3.4978,371,31.2,30,10.583, Medium ,69.5737
15,32%,27%,0.09858,34.5011,54.0,Brand 1,12.56%,9%,47.0, Cold Coffee ,11,Low_Fat,Malai Milk,0.101,1.4668,740,36.3,275,37.1169, Medium ,4.1875
16,39%,29%,0.09883,24.8691,31.0,Brand 10,2.59%,12%,43.0, South Indian Filter Coffee ,11,Vitamin_Rich,Saffron-Infused Milk,0.101,0.3006,70,26.6,279,9.296, Medium ,1.8793
17,114%,5%,0.01571,22.6973,18.0,Brand 19,0.11%,5%,7.0, South Indian Filter Coffee ,10,Low_Fat,Elaichi Doodh,0.101,0.0,63,9.6,294,11.2587, Medium ,7.407
18,142%,34%,0.03674,23.8944,38.0,Brand 31,0.11%,12%,131.0, Masala Chai ,17,Low_Fat,Elaichi Doodh,1.277,0.6967,490,115.3,214,19.0131, Medium ,9.1913
19,43%,28%,0.08738,24.7469,27.0,Brand 19,20.1%,5%,103.0, South Indian Filter Coffee ,11,Vitamin_Rich,Badam Milk,0.101,1.206,399,10.7,39,15.3125, Medium ,54.1901
20,10%,0%,0.02277,13.4604,8.0,Brand 9,0.25%,10%,39.0, Nimbu Pani & Shikanji ,11,Low_Fat,Medium Glass,0.101,0.0724,198,5.3,327,12.0828, Low ,5.1074
21,47%,25%,0.02446,24.7424,59.0,Brand 16,1.21%,10%,89.0, Masala Chai ,10,Vitamin_Rich,Rose Milk,1.88,0.1168,71,16.3,148,7.2123, Medium ,18.5736
22,87%,59%,0.03343,27.5707,12.0,Brand 12,53.04%,12%,106.0, Nimbu Pani & Shikanji ,18,Low_Fat,Malai Milk,3.971,1.2559,1248,59.6,280,15.463, Medium ,12.9599
23,10%,11%,0.03325,11.5155,15.0,Brand 13,0.11%,13%,90.0, Nimbu Pani & Shikanji ,11,Low_Fat,Malai Milk,0.101,0.5583,45,16.8,127,8.8465, Medium ,0.46
24,62%,45%,0.03048,24.4052,15.0,Brand 17,0.11%,11%,171.0, Light Buttermilk (Chaas) ,11,Low_Fat,Elaichi Doodh,0.101,0.9503,565,79.1,30,25.7718, Medium ,0.0
25,10%,4%,0.02226,7.0264,1.0,Brand 7,0.11%,10%,74.0, Nimbu Pani & Shikanji ,11,Low_Fat,Extra Large Kulhad,0.101,0.4521,45,3.0,509,3.3381, Medium ,0.0
26,82%,44%,0.10164,41.4647,43.0,Brand 3,67.76%,405%,119.0, Mango Shake ,42,Vitamin_Rich,Badam Milk,511.75,2.7888,657,143.0,25,37.772, High ,138.7326
27,46%,58%,0.01357,21.8259,20.0,Brand 4,1.56%,5%,10.0, South Indian Filter Coffee ,18,Vitamin_Rich,Elaichi Doodh,3.135,2.868,548,82.4,147,13.1698, Medium ,14.3573
28,44%,42%,0.01101,23.0113,6.0,Brand 27,2.55%,12%,30.0, South Indian Filter Coffee ,10,Low_Fat,Kesar Doodh,3.496,0.4573,560,95.6,130,19.7916, High ,0.0
29,47%,31%,0.10501,26.843,62.0,Brand 12,34.57%,6%,177.0, Cold Coffee ,11,Vitamin_Rich,Elaichi Doodh,0.101,1.7137,582,33.7,224,18.5959, Medium ,8.7773
30,27%,34%,0.01756,29.051,58.0,Brand 32,0.11%,45%,15.0, Nimbu Pani & Shikanji ,11,Low_Fat,Medium Glass,0.321,0.554,783,25.2,252,10.99, Medium ,0.0
31,11%,7%,0.01101,1.3301,0.0,Brand 13,0.11%,11%,2.0, Nimbu Pani & Shikanji ,11,High_Protein,Medium Glass,1.931,0.0,0,3.0,225,3.3381, Low ,0.0
32,12%,30%,0.07027,40.2298,89.0,Brand 23,33.26%,63%,146.0, Cold Coffee ,15,Vitamin_Rich,Full Cream Buffalo Milk,0.17,3.5929,502,51.4,61,42.0029, Medium ,56.7846
33,10%,2%,0.02088,12.8611,0.0,Brand 14,0.11%,9%,104.0, Nimbu Pani & Shikanji ,12,Low_Fat,Medium Glass,1.977,0.4375,105,6.0,270,5.5849, Medium ,0.0
34,24%,5%,0.03265,8.5825,16.0,Brand 19,0.11%,9%,82.0, Nimbu Pani & Shikanji ,10,Low_Fat,Medium Glass,0.101,0.6319,242,19.5,136,11.2445, Medium ,0.0
35,10%,4%,0.01433,21.7996,19.0,Brand 19,0.11%,9%,25.0, Nimbu Pani & Shikanji ,10,Low_Fat,Large Kulhad,2.79,0.2101,131,19.8,42,11.8524, Medium ,0.0982
